Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Nome	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Nome	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome	Nome	Nome	Em Funcionamento	Endereço	Descrição	Nome	Em Funcionamento	Endereço	Descrição	Nome
CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	CAM-047	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	CAM-047	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	CAM-047	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047	Sim	172.16.2.47	CAM-047 SPEED AREA DA BALANCA	CAM-047
CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	CAM-048	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	CAM-048	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	CAM-048	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048	Não	172.16.2.48	CAM-048 ACESSO ADM I	CAM-048
CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	CAM-049	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	CAM-049	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	CAM-049	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049	Sim	172.16.2.49	CAM-049 ACESSO ADM II	CAM-049
CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	CAM-050	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	CAM-050	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	CAM-050	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050	Sim	172.16.2.50	CAM-050 SPEED ENTRADA OPERAÇÃO	CAM-050
CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	CAM-051	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	CAM-051	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	CAM-051	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051	Sim	172.16.2.51	CAM-051 CERCA AGROPALMA II PRÉDIO ADM	CAM-051
CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	CAM-052	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	CAM-052	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	CAM-052	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052	Sim	172.16.2.52	CAM-052 AREA DA FILA DE CTS	CAM-052
CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	CAM-053	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	CAM-053	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	CAM-053	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053	Sim	172.16.2.53	CAM-053 ENTRADA PLATAFORMAS	CAM-053
CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	CAM-054	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	CAM-054	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	CAM-054	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054	Sim	172.16.2.54	CAM-054 LPR ENTRADA PLATAFORMAS	CAM-054
CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	CAM-055	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	CAM-055	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	CAM-055	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055	Sim	172.16.2.55	CAM-055 LPR SAIDA PLATAFORMA	CAM-055
CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	CAM-056	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	CAM-056	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	CAM-056	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056	Sim	172.16.2.56	CAM-056 ENTRADA PLATAFORMAS	CAM-056
CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	CAM-057	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	CAM-057	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	CAM-057	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057	Sim	172.16.2.57	CAM-057 PATIO DE ESPERA DE CTS I	CAM-057
CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	CAM-058	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	CAM-058	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	CAM-058	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058	Sim	172.16.2.58	CAM-058 PATIO DE ESPERA DE CTS II	CAM-058
CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	CAM-059	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	CAM-059	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	CAM-059	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059	Sim	172.16.2.59	CAM-059 SUBESTAÇÃO II	CAM-059
CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	CAM-060	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	CAM-060	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	CAM-060	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060	Sim	172.16.2.60	CAM-060 GERADOR SUBESTAÇÃO II	CAM-060
CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	CAM-061	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	CAM-061	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	CAM-061	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061	Sim	172.16.2.61	CAM-061 TQ 21 (AGUA)	CAM-061
